0,Afghanistan
1,Albania
2,Algeria
3,Andorra
4,Angola
5,Antigua and Barbuda
6,Argentina
7,Armenia
8,Austria
9,Azerbaijan
10,Bahrain
11,Bangladesh
12,Barbados
13,Belarus
14,Belgium
15,Belize
16,Benin
17,Bhutan
18,Bolivia
19,Bosnia and Herzegovina
20,Botswana
21,Brazil
22,Brunei
23,Bulgaria
24,Burkina Faso
25,Burundi
26,Cabo Verde
27,Cambodia
28,Cameroon
29,Canada
30,Central African Republic
31,Chad
32,Channel Islands
33,Chile
34,China
35,Colombia
36,Comoros
37,Congo
38,Costa Rica
39,Côte d'Ivoire
40,Croatia
41,Cuba
42,Cyprus
43,Czech Republic
44,Denmark
45,Djibouti
46,Dominica
47,Dominican Republic
48,DR Congo
49,Ecuador
50,Egypt
51,El Salvador
52,Equatorial Guinea
53,Eritrea
54,Estonia
55,Eswatini
56,Ethiopia
57,Faeroe Islands
58,Finland
59,France
60,French Guiana
61,Gabon
62,Gambia
63,Georgia
64,Germany
65,Ghana
66,Gibraltar
67,Greece
68,Grenada
69,Guatemala
70,Guinea
71,Guinea-Bissau
72,Guyana
73,Haiti
74,Holy See
75,Honduras
76,Hong Kong
77,Hungary
78,Iceland
79,India
80,Indonesia
81,Iran
82,Iraq
83,Ireland
84,Isle of Man
85,Israel
86,Italy
87,Jamaica
88,Japan
89,Jordan
90,Kazakhstan
91,Kenya
92,Kuwait
93,Kyrgyzstan
94,Laos
95,Latvia
96,Lebanon
97,Lesotho
98,Liberia
99,Libya
100,Liechtenstein
101,Lithuania
102,Luxembourg
103,Macao
104,Madagascar
105,Malawi
106,Malaysia
107,Maldives
108,Mali
109,Malta
110,Mauritania
111,Mauritius
112,Mayotte
113,Mexico
114,Moldova
115,Monaco
116,Mongolia
117,Montenegro
118,Morocco
119,Mozambique
120,Myanmar
121,Namibia
122,Nepal
123,Netherlands
124,Nicaragua
125,Niger
126,Nigeria 
127,North Korea
128,North Macedonia
129,Norway
130,Oman
131,Pakistan
132,Panama
133,Paraguay
134,Peru
135,Philippines
136,Poland
137,Portugal
138,Qatar
139,Réunion
140,Romania
141,Russia
142,Rwanda
143,Saint Helena
144,Saint Kitts and Nevis
145,Saint Lucia
146,Saint Vincent and the Grenadines
147,San Marino
148,Sao Tome & Principe
149,Saudi Arabia
150,Senegal
151,Serbia
152,Seychelles
153,Sierra Leone
154,Singapore
155,Slovakia
156,Slovenia
157,Somalia
158,South Africa
159,South Korea
160,South Sudan
161,Spain
162,Sri Lanka
163,State of Palestine
164,Sudan
165,Suriname
166,Sweden
167,Switzerland
168,Syria
169,Taiwan
170,Tajikistan
171,Tanzania
172,Thailand
173,The Bahamas
174,Timor-Leste
175,Togo
176,Trinidad and Tobago
177,Tunisia
178,Turkey
179,Turkmenistan
180,Uganda
181,Ukraine
182,United Arab Emirates
183,United Kingdom
184,United States
185,Uruguay
186,Uzbekistan
187,Venezuela
188,Vietnam
189,Western Sahara
190,Yemen
191,Zambia
192,Zimbabwe
